timecode	yday	degC	Pa	pressAltComp
1530450414	181	21.5	101275	4.246851651479412
1530450914	181	21.5	101286	3.9137026725749635
1530451414	181	21.5	101293	2.2481175693632283
1530451914	181	21.5	101293	1.8317628986901002
1530452414	181	21.5	101295	1.8317628986901002
1530452914	181	21.5	101288	2.997597911793691
1530453414	181	21.4	101296	2.664488880599981
1530453914	181	21.4	101296	1.8317628986901002
1530454414	181	21.4	101297	1.9150325016538539
1530454914	181	21.4	101292	2.7477651398462752
1530455414	181	21.3	101306	1.5819580831411673
1530455914	181	21.3	101300	1.1656300342859527
1530456414	181	21.3	101320	0.16651059194663254
1530456914	181	21.3	101328	-0.3330132003682884
1530457414	181	21.3	101335	-0.41626483728792074
1530457914	181	21.3	101326	0.0
1530458414	181	21.3	101322	-0.0832542980093165
1530458914	181	21.2	101322	-0.0832542980093165
1530459414	181	21.3	101327	-0.5827661154305019
1530459914	181	21.2	101333	-0.8325130435306272
1530460414	181	21.2	101345	-1.8314408926689763
1530460914	181	21.2	101339	-1.9979195563970364
1530461414	181	21.2	101346	-2.0811578907424733
1530461914	181	21.3	101357	-2.913504660811843
1530462414	181	21.3	101350	-2.497339587598708
1530462914	181	21.3	101358	-2.663807611633726
1530463414	181	21.3	101367	-3.8290093140166204
1530463914	181	21.3	101371	-3.7457849422836587
1530464414	181	21.3	101374	-4.328341584961595
1530464914	181	21.3	101360	-2.247632564415847
1530465414	181	21.3	101358	-2.1643955600689524
1530465914	181	21.4	101344	-1.9146805570523284
1530466414	181	21.4	101357	-2.247632564415847
1530466914	181	21.4	101358	-3.412880807573828
1530467414	181	21.4	101366	-3.412880807573828
1530467914	181	21.3	101370	-3.995456063222973
1530468414	181	21.3	101364	-3.246424751370023
1530468914	181	21.4	101376	-4.078678440725893
1530469414	181	21.4	101380	-4.577998747028865
1530469914	181	21.3	101381	-4.910865658099595
1530470414	181	21.4	101374	-4.328341584961595
1530470914	181	21.3	101383	-5.4101460869085605
1530471414	181	21.3	101380	-4.577998747028865
1530471914	181	21.4	101388	-4.411561303648619
1530472414	181	21.3	101380	-5.077295125977102
1530472914	181	21.4	101376	-4.411561303648619
1530473414	181	21.4	101374	-4.24512120158044
1530473914	181	21.4	101383	-4.827649927262372
1530474414	181	21.4	101390	-4.6612164717417714
1530474914	181	21.4	101384	-4.411561303648619
1530475414	181	21.4	101371	-4.24512120158044
1530475914	181	21.4	101364	-3.6625599057876634
1530476414	181	21.4	101363	-2.996735680755891
1530476914	181	21.4	101360	-2.663807611633726
1530477414	181	21.3	101349	-1.9979195563970364
1530477914	181	21.3	101340	-1.0822539849738044
1530478414	181	21.3	101342	-1.165499635157743
1530478914	181	21.3	101323	-0.4995158089818874
